graph_idx,seed,n_nodes,n_edges,shots,p_baseline,p_learned,delta,se_baseline,se_learned
0,2000,6,6,500,0.972,0.996,0.02400000000000002,0.0073778045514909145,0.002822764602300377
1,2001,6,10,500,0.992,0.972,-0.020000000000000018,0.003983967871356396,0.0073778045514909145
2,2002,6,7,500,0.892,0.986,0.09399999999999997,0.013880633991284403,0.0052543315464481325
3,2003,6,11,500,1.0,0.996,-0.0040000000000000036,0.0,0.002822764602300377
4,2004,6,7,500,0.97,0.986,0.016000000000000014,0.007628892449104264,0.0052543315464481325
5,2005,6,11,500,1.0,0.994,-0.006000000000000005,0.0,0.0034536936748935927
6,2006,6,8,500,0.974,0.988,0.014000000000000012,0.007116740827092135,0.004869496893930627
7,2007,6,11,500,1.0,0.998,-0.0020000000000000018,0.0,0.001997998998998749
8,2008,6,7,500,0.962,0.984,0.02200000000000002,0.008550555537507495,0.00561141693336006
9,2009,6,9,500,0.984,0.984,0.0,0.00561141693336006,0.00561141693336006
10,2010,6,8,500,0.968,0.996,0.028000000000000025,0.007870959280799264,0.002822764602300377
11,2011,6,7,500,0.988,0.988,0.0,0.004869496893930627,0.004869496893930627
12,2012,6,6,500,0.976,0.994,0.018000000000000016,0.006844559883586383,0.0034536936748935927
13,2013,6,8,500,0.978,0.984,0.006000000000000005,0.006559878047646925,0.00561141693336006
14,2014,6,10,500,1.0,1.0,0.0,0.0,0.0
15,2015,6,7,500,0.964,0.99,0.026000000000000023,0.008331146379700699,0.0044497190922574
16,2016,6,7,500,0.874,0.974,0.09999999999999998,0.01484075469779081,0.007116740827092135
17,2017,6,9,500,0.988,0.972,-0.016000000000000014,0.004869496893930627,0.0073778045514909145
18,2018,6,9,500,0.96,0.998,0.038000000000000034,0.008763560920082661,0.001997998998998749
19,2019,6,9,500,0.96,0.996,0.03600000000000003,0.008763560920082661,0.002822764602300377
20,2020,6,11,500,0.996,0.998,0.0020000000000000018,0.002822764602300377,0.001997998998998749
21,2021,6,6,500,0.97,0.996,0.026000000000000023,0.007628892449104264,0.002822764602300377
22,2022,6,6,500,0.97,0.994,0.02400000000000002,0.007628892449104264,0.0034536936748935927
23,2023,6,10,500,0.944,0.98,0.03600000000000003,0.010282412168358165,0.006260990336999414
24,2024,6,9,500,0.964,0.994,0.030000000000000027,0.008331146379700699,0.0034536936748935927
25,2025,6,9,500,0.97,0.988,0.018000000000000016,0.007628892449104264,0.004869496893930627
26,2026,6,9,500,0.976,0.992,0.016000000000000014,0.006844559883586383,0.003983967871356396
27,2027,6,7,500,0.974,0.992,0.018000000000000016,0.007116740827092135,0.003983967871356396
28,2028,6,9,500,0.966,0.992,0.026000000000000023,0.008104813384649892,0.003983967871356396
29,2029,6,10,500,1.0,1.0,0.0,0.0,0.0
30,2030,6,10,500,0.998,1.0,0.0020000000000000018,0.001997998998998749,0.0
31,2031,6,6,500,0.972,0.992,0.020000000000000018,0.0073778045514909145,0.003983967871356396
32,2032,6,8,500,0.97,0.994,0.02400000000000002,0.007628892449104264,0.0034536936748935927
33,2033,6,10,500,0.98,0.97,-0.010000000000000009,0.006260990336999414,0.007628892449104264
34,2034,6,10,500,0.974,0.968,-0.006000000000000005,0.007116740827092135,0.007870959280799264
35,2035,6,10,500,0.98,0.968,-0.01200000000000001,0.006260990336999414,0.007870959280799264
36,2036,6,7,500,0.864,0.978,0.11399999999999999,0.01532997064576446,0.006559878047646925
37,2037,6,9,500,0.97,0.996,0.026000000000000023,0.007628892449104264,0.002822764602300377
38,2038,6,10,500,0.996,1.0,0.0040000000000000036,0.002822764602300377,0.0
39,2039,6,6,500,0.972,0.996,0.02400000000000002,0.0073778045514909145,0.002822764602300377
40,2040,6,7,500,0.986,0.992,0.006000000000000005,0.0052543315464481325,0.003983967871356396
41,2041,6,5,500,0.896,0.97,0.07399999999999995,0.013651666564928987,0.007628892449104264
42,2042,6,7,500,0.98,0.994,0.014000000000000012,0.006260990336999414,0.0034536936748935927
43,2043,6,11,500,1.0,0.998,-0.0020000000000000018,0.0,0.001997998998998749
44,2044,6,9,500,0.98,0.992,0.01200000000000001,0.006260990336999414,0.003983967871356396
45,2045,6,8,500,0.978,0.992,0.014000000000000012,0.006559878047646925,0.003983967871356396
46,2046,6,9,500,0.978,0.986,0.008000000000000007,0.006559878047646925,0.0052543315464481325
47,2047,6,9,500,0.978,0.98,0.0020000000000000018,0.006559878047646925,0.006260990336999414
48,2048,6,10,500,0.998,1.0,0.0020000000000000018,0.001997998998998749,0.0
49,2049,6,11,500,0.996,0.996,0.0,0.002822764602300377,0.002822764602300377
50,2050,6,11,500,0.996,1.0,0.0040000000000000036,0.002822764602300377,0.0
51,2051,6,7,500,0.974,0.996,0.02200000000000002,0.007116740827092135,0.002822764602300377
52,2052,6,8,500,0.962,0.996,0.03400000000000003,0.008550555537507495,0.002822764602300377
53,2053,6,11,500,1.0,0.998,-0.0020000000000000018,0.0,0.001997998998998749
54,2054,6,5,500,0.85,0.966,0.11599999999999999,0.015968719422671314,0.008104813384649892
55,2055,6,6,500,0.964,0.998,0.03400000000000003,0.008331146379700699,0.001997998998998749
56,2056,6,10,500,0.982,0.966,-0.016000000000000014,0.005945754788082,0.008104813384649892
57,2057,6,7,500,0.99,0.99,0.0,0.0044497190922574,0.0044497190922574
58,2058,6,6,500,0.96,0.994,0.03400000000000003,0.008763560920082661,0.0034536936748935927
59,2059,6,9,500,0.982,0.98,-0.0020000000000000018,0.005945754788082,0.006260990336999414
60,2060,6,8,500,0.97,0.99,0.020000000000000018,0.007628892449104264,0.0044497190922574
61,2061,6,4,500,0.876,0.982,0.10599999999999998,0.014739335127474372,0.005945754788082
62,2062,6,9,500,0.978,0.992,0.014000000000000012,0.006559878047646925,0.003983967871356396
63,2063,6,11,500,1.0,1.0,0.0,0.0,0.0
64,2064,6,8,500,0.978,0.996,0.018000000000000016,0.006559878047646925,0.002822764602300377
65,2065,6,8,500,0.968,0.994,0.026000000000000023,0.007870959280799264,0.0034536936748935927
66,2066,6,11,500,0.996,0.998,0.0020000000000000018,0.002822764602300377,0.001997998998998749
67,2067,6,7,500,0.978,0.994,0.016000000000000014,0.006559878047646925,0.0034536936748935927
68,2068,6,6,500,0.97,0.994,0.02400000000000002,0.007628892449104264,0.0034536936748935927
69,2069,6,10,500,0.998,0.998,0.0,0.001997998998998749,0.001997998998998749
70,2070,6,10,500,0.988,0.972,-0.016000000000000014,0.004869496893930627,0.0073778045514909145
71,2071,6,6,500,0.964,0.996,0.03200000000000003,0.008331146379700699,0.002822764602300377
72,2072,6,8,500,0.98,0.992,0.01200000000000001,0.006260990336999414,0.003983967871356396
73,2073,6,6,500,0.978,0.992,0.014000000000000012,0.006559878047646925,0.003983967871356396
74,2074,6,8,500,0.964,0.994,0.030000000000000027,0.008331146379700699,0.0034536936748935927
75,2075,6,8,500,0.974,0.986,0.01200000000000001,0.007116740827092135,0.0052543315464481325
76,2076,6,10,500,0.968,0.98,0.01200000000000001,0.007870959280799264,0.006260990336999414
77,2077,6,11,500,1.0,0.998,-0.0020000000000000018,0.0,0.001997998998998749
78,2078,6,5,500,0.878,0.966,0.08799999999999997,0.014636666287102402,0.008104813384649892
79,2079,6,6,500,0.964,0.992,0.028000000000000025,0.008331146379700699,0.003983967871356396
80,2080,6,11,500,0.998,0.998,0.0,0.001997998998998749,0.001997998998998749
81,2081,6,8,500,0.968,0.994,0.026000000000000023,0.007870959280799264,0.0034536936748935927
82,2082,6,10,500,1.0,0.998,-0.0020000000000000018,0.0,0.001997998998998749
83,2083,6,9,500,0.98,0.99,0.010000000000000009,0.006260990336999414,0.0044497190922574
84,2084,6,8,500,0.978,0.996,0.018000000000000016,0.006559878047646925,0.002822764602300377
85,2085,6,4,500,0.856,0.976,0.12,0.015701210144444283,0.006844559883586383
86,2086,6,11,500,0.996,1.0,0.0040000000000000036,0.002822764602300377,0.0
87,2087,6,5,500,0.882,0.968,0.08599999999999997,0.014427473791346842,0.007870959280799264
88,2088,6,8,500,0.978,0.988,0.010000000000000009,0.006559878047646925,0.004869496893930627
89,2089,6,10,500,0.984,0.978,-0.006000000000000005,0.00561141693336006,0.006559878047646925
90,2090,6,9,500,0.97,0.998,0.028000000000000025,0.007628892449104264,0.001997998998998749
91,2091,6,8,500,0.978,0.988,0.010000000000000009,0.006559878047646925,0.004869496893930627
92,2092,6,8,500,0.966,0.99,0.02400000000000002,0.008104813384649892,0.0044497190922574
93,2093,6,8,500,0.988,0.992,0.0040000000000000036,0.004869496893930627,0.003983967871356396
94,2094,6,6,500,0.972,0.998,0.026000000000000023,0.0073778045514909145,0.001997998998998749
95,2095,6,8,500,0.984,0.99,0.006000000000000005,0.00561141693336006,0.0044497190922574
96,2096,6,9,500,0.984,0.962,-0.02200000000000002,0.00561141693336006,0.008550555537507495
97,2097,6,10,500,0.972,0.978,0.006000000000000005,0.0073778045514909145,0.006559878047646925
98,2098,6,10,500,0.972,0.978,0.006000000000000005,0.0073778045514909145,0.006559878047646925
99,2099,6,4,500,0.86,0.974,0.11399999999999999,0.01551773179301666,0.007116740827092135
SUMMARY_mean,,100,,500,0.9687399999999999,0.9888799999999998,0.020140000000000005,0.0034661602194166773,0.0009995231186153057
SUMMARY_ci95_delta_lo,,,,,,,0.014051081280600893,,
SUMMARY_ci95_delta_hi,,,,,,,0.026228918719399117,,
SUMMARY_p_ttest_two_sided,,,,,,,2.439121801930833e-09,,
SUMMARY_p_wilcoxon_one_sided,,,,,,,1.1745509899453798e-11,,
SUMMARY_wins,,,,,,,74,,
SUMMARY_ties,,,,,,,9,,
SUMMARY_losses,,,,,,,17,,
