graph_idx,seed,n_nodes,n_edges,shots,p_baseline,p_learned,delta,se_baseline,se_learned
0,3000,11,20,500,0.964,0.868,-0.09599999999999997,0.008331146379700699,0.01513776733867977
1,3001,11,21,500,0.952,0.882,-0.06999999999999995,0.009559916317625384,0.014427473791346842
2,3002,11,19,500,0.976,0.956,-0.020000000000000018,0.006844559883586383,0.009172131704244116
3,3003,11,19,500,0.976,0.928,-0.04799999999999993,0.006844559883586383,0.0115599307956406
4,3004,11,24,500,0.822,0.58,-0.242,0.01710648999648964,0.02207260745811423
5,3005,11,20,500,0.972,0.94,-0.03200000000000003,0.0073778045514909145,0.010620734437881408
6,3006,11,22,500,0.982,0.922,-0.05999999999999994,0.005945754788082,0.01199299795714149
7,3007,11,17,500,0.992,0.992,0.0,0.003983967871356396,0.003983967871356396
8,3008,11,20,500,0.956,0.964,0.008000000000000007,0.009172131704244116,0.008331146379700699
9,3009,11,20,500,0.954,0.966,0.01200000000000001,0.009368457717255283,0.008104813384649892
10,3010,11,24,500,0.968,0.946,-0.02200000000000002,0.007870959280799264,0.010107818755794947
11,3011,11,22,500,0.99,0.996,0.006000000000000005,0.0044497190922574,0.002822764602300377
12,3012,11,26,500,0.622,0.408,-0.21400000000000002,0.02168483340955148,0.021978898971513564
13,3013,11,17,500,0.982,0.988,0.006000000000000005,0.005945754788082,0.004869496893930627
14,3014,11,22,500,0.032,0.102,0.06999999999999999,0.007870959280799261,0.013534843922262273
15,3015,11,21,500,0.972,0.946,-0.026000000000000023,0.0073778045514909145,0.010107818755794947
16,3016,11,16,500,0.992,0.992,0.0,0.003983967871356396,0.003983967871356396
17,3017,11,22,500,0.988,0.986,-0.0020000000000000018,0.004869496893930627,0.0052543315464481325
18,3018,11,15,500,0.976,0.998,0.02200000000000002,0.006844559883586383,0.001997998998998749
19,3019,11,17,500,0.974,0.984,0.010000000000000009,0.007116740827092135,0.00561141693336006
20,3020,11,19,500,0.988,0.944,-0.04400000000000004,0.004869496893930627,0.010282412168358165
21,3021,11,21,500,0.966,0.964,-0.0020000000000000018,0.008104813384649892,0.008331146379700699
22,3022,11,15,500,0.988,0.994,0.006000000000000005,0.004869496893930627,0.0034536936748935927
23,3023,11,20,500,0.964,0.956,-0.008000000000000007,0.008331146379700699,0.009172131704244116
24,3024,11,19,500,0.984,0.968,-0.016000000000000014,0.00561141693336006,0.007870959280799264
25,3025,11,19,500,0.958,0.98,0.02200000000000002,0.00897061870775924,0.006260990336999414
26,3026,11,19,500,0.974,0.964,-0.010000000000000009,0.007116740827092135,0.008331146379700699
27,3027,11,21,500,0.98,0.994,0.014000000000000012,0.006260990336999414,0.0034536936748935927
28,3028,11,23,500,0.964,0.99,0.026000000000000023,0.008331146379700699,0.0044497190922574
29,3029,11,22,500,0.988,0.988,0.0,0.004869496893930627,0.004869496893930627
30,3030,11,16,500,0.98,0.998,0.018000000000000016,0.006260990336999414,0.001997998998998749
31,3031,11,17,500,0.99,1.0,0.010000000000000009,0.0044497190922574,0.0
32,3032,11,23,500,0.956,0.956,0.0,0.009172131704244116,0.009172131704244116
33,3033,11,18,500,0.978,0.996,0.018000000000000016,0.006559878047646925,0.002822764602300377
34,3034,11,23,500,0.996,0.99,-0.006000000000000005,0.002822764602300377,0.0044497190922574
35,3035,11,17,500,0.97,0.978,0.008000000000000007,0.007628892449104264,0.006559878047646925
36,3036,11,19,500,0.982,0.958,-0.02400000000000002,0.005945754788082,0.00897061870775924
37,3037,11,19,500,0.98,0.948,-0.03200000000000003,0.006260990336999414,0.009929350431926557
38,3038,11,21,500,0.972,0.992,0.020000000000000018,0.0073778045514909145,0.003983967871356396
39,3039,11,15,500,0.972,1.0,0.028000000000000025,0.0073778045514909145,0.0
40,3040,11,15,500,0.982,0.998,0.016000000000000014,0.005945754788082,0.001997998998998749
41,3041,11,18,500,0.972,0.994,0.02200000000000002,0.0073778045514909145,0.0034536936748935927
42,3042,11,16,500,0.982,0.996,0.014000000000000012,0.005945754788082,0.002822764602300377
43,3043,11,18,500,0.978,0.986,0.008000000000000007,0.006559878047646925,0.0052543315464481325
44,3044,11,18,500,0.98,0.972,-0.008000000000000007,0.006260990336999414,0.0073778045514909145
45,3045,11,23,500,0.97,0.986,0.016000000000000014,0.007628892449104264,0.0052543315464481325
46,3046,11,17,500,0.982,0.998,0.016000000000000014,0.005945754788082,0.001997998998998749
47,3047,11,16,500,0.988,0.986,-0.0020000000000000018,0.004869496893930627,0.0052543315464481325
48,3048,11,18,500,0.986,0.994,0.008000000000000007,0.0052543315464481325,0.0034536936748935927
49,3049,11,17,500,0.974,1.0,0.026000000000000023,0.007116740827092135,0.0
SUMMARY_mean,,50,,500,0.9473199999999998,0.93624,-0.011079999999999993,0.020248062441948888,0.022178543777300455
SUMMARY_ci95_delta_lo,,,,,,,-0.02606875152252907,,
SUMMARY_ci95_delta_hi,,,,,,,0.003908751522529083,,
SUMMARY_p_ttest_two_sided,,,,,,,0.1438118841998102,,
SUMMARY_p_wilcoxon_one_sided,,,,,,,0.5971471126886709,,
SUMMARY_wins,,,,,,,25,,
SUMMARY_ties,,,,,,,4,,
SUMMARY_losses,,,,,,,21,,
SUMMARY_lattice,4x4,,,,,,,,
SUMMARY_mean_n_nodes,,11.0,,,,,,,
